shapeID,year,max,mean,min,stdDev,sum
Trnovo (RS),1994,,,,,0.0
Tuzla,1994,14.810844421386719,1.1513090378739481,9.73038375377655E-4,2.078224142322462,507.74986038942836
Ugljevik,1994,0.5962860584259033,0.20449278965787424,0.020334996283054352,0.14322370218607844,15.316910911629012
Usora,1994,,,,,0.0
Ustiprača,1994,,,,,0.0
Vareš,1994,0.0025180578231811523,0.001811157912015915,0.0011042580008506775,7.068999111652374E-4,0.00362231582403183
Velika Kladuša,1994,0.03113274648785591,0.016504628583788872,0.0018765106797218323,0.01462811790406704,0.033009257167577744
Visoko,1994,2.325939893722534,0.6206004456843489,9.284913539886475E-5,0.5390379389787957,76.98609371895299
Vitez,1994,4.720160961151123,1.7193159788547934,0.011406272649765015,1.3358062013608623,172.52493045857432
Vlasenica,1994,0.08582785725593567,0.046506116166710854,0.02732449769973755,0.020373211931675787,0.2790366970002651
Vogošća,1994,0.6824012994766235,0.18255148244131134,4.493445158004761E-5,0.17172891587945804,24.16194150539882
Vukosavlje,1994,,,,,0.0
Zavidovići,1994,,,,,0.0
Zenica,1994,7.752467632293701,1.9003683018076178,0.0037033557891845703,1.945103747952227,390.9169383188965
Zvornik,1994,3.6988275051116943,0.96870510666761,0.0036349520087242126,0.9028583486575191,154.66991536459503
Čajniče,1994,,,,,0.0
Čapljina,1994,11.704207420349121,1.3820874428096857,0.02034570276737213,2.243743252654848,170.39783182154395
Čelinac,1994,,,,,0.0
Čelić,1994,,,,,0.0
Čitluk,1994,13.746049880981445,1.733502888603256,0.001141279935836792,2.416879989741995,236.61294721852914
Šamac,1994,0.16119858622550964,0.04728091898808952,0.0023028478026390076,0.030681134215402098,4.895707392005944
Šekovići,1994,,,,,0.0
Šipovo,1994,0.05481298267841339,0.023750406556895802,0.001592285931110382,0.017649067987938173,0.3325056917965412
Široki Brijeg,1994,11.167062759399414,1.5462803892457175,0.002846851944923401,2.140359465757603,265.85714159098035
Žepče,1994,,,,,0.0
Živinice,1994,0.055553585290908813,0.020823458550980247,0.0028678178787231445,0.012829339763104344,0.5307123808738063
Banja Luka,1995,7.413600444793701,0.8458962515140291,2.648681402206421E-4,1.4047228020479159,570.7676663990406
Banovići,1995,1.0662914514541626,0.2821100849735221,0.009024284780025482,0.2688525061526639,28.16454330688598
Berkovići,1995,,,,,0.0
Bihać,1995,0.011468589305877686,0.006829770281910896,2.2087246179580688E-4,0.004323383500097789,0.027319081127643585
Bijeljina,1995,10.694090843200684,0.5414302788345575,0.0011962801218032837,1.2814835996516996,328.10887222973736
Bileća,1995,8.242087364196777,1.925994192445001,0.002838730812072754,2.185662021407897,82.81775027513504
Bosanska Krupa,1995,,,,,0.0
Bosanski Petrovac,1995,,,,,0.0
Bosansko Grahovo,1995,,,,,0.0
Bratunac,1995,3.975243091583252,0.9705288413906663,0.0128459632396698,0.932362558436737,73.60034013652042
Brcko District,1995,1.8373404741287231,0.1736511218450473,0.0013348162174224854,0.30263089464967646,55.79921283475033
Breza,1995,1.8984445333480835,0.4051590927878959,8.063986897468567E-4,0.44476706032135915,29.881674737497875
Brod,1995,10.688139915466309,1.459369346038672,4.104599356651306E-4,2.266595891400989,158.05828470155308
Bugojno,1995,7.812586784362793,1.1978487861242226,0.017118357121944427,1.7152506878453897,166.50098127126694
Busovača,1995,8.559318542480469,1.7420685967283973,0.016502059996128082,2.148247899989363,155.04410510882735
Bužim,1995,,,,,0.0
Cazin,1995,1.5960639715194702,0.37986443657428026,0.0015137195587158203,0.4476209495880661,15.19457746297121
Centar,1995,8.86713981628418,1.3365454947807158,0.0019351765513420105,1.8708568825555145,129.61870621932198
Derventa,1995,6.128405570983887,0.8296925635234024,1.3159960508346558E-4,1.3765030925623192,73.84263815358281
Doboj,1995,8.41624927520752,0.6482322294922436,5.089342594146729E-4,1.44153646924406,99.17953111231327
Doboj East,1995,,,,,0.0
Doboj Jug,1995,,,,,0.0
Dobretići,1995,,,,,0.0
Domaljevac-Šamac,1995,1.5076930522918701,0.3280087287993422,0.0042218416929244995,0.39593832747044827,27.271031604999425
Donji Vakuf,1995,13.48367691040039,4.601048153180343,0.2158658504486084,4.14918972030183,119.6272519826889
Donji Žabar,1995,0.012691952288150787,0.010371009871531068,0.007256060838699341,0.0027179457247257233,0.018098428991495392
Drvar,1995,0.06891527771949768,0.02482395660546091,3.286898136138916E-4,0.014048662135922615,0.6702468283474445
Fojnica,1995,3.473149299621582,1.4012681829929352,0.13824006915092468,1.002739057642508,35.03170457482338
Foča,1995,1.0230456590652466,0.2827342811130708,0.0015287473797798157,0.30168879586916747,8.764762714505196
Foča-Ustikolina,1995,,,,,0.0
Gacko,1995,0.056736819446086884,0.026126729945341747,0.002264074981212616,0.01775425778330578,0.23514056950807571
Glamoč,1995,,,,,0.0
Goražde,1995,,,,,0.0
Gornji Vakuf-Uskoplje,1995,7.924043655395508,2.402507694867941,0.16501986980438232,2.0137168286046636,93.6978000998497
Gradačac,1995,0.3285369575023651,0.06169674946253318,0.0012522637844085693,0.07558766387902797,2.2087436307586876
Gradiška,1995,2.6331279277801514,0.16491262768223322,1.5082210302352905E-4,0.36283512309848565,53.355378858978845
Gračanica,1995,0.4524814188480377,0.09544576565114776,1.5223026275634766E-4,0.09839138026872522,8.62904580910416
Grude,1995,3.171889543533325,0.4042347578192869,0.0012901946902275085,0.6937309912612006,43.30543182002855
Hadžići,1995,0.8167239427566528,0.14379966028374933,0.020168736577033997,0.10755336342396013,27.512540493817887
Han Pijesak,1995,,,,,0.0
Ilidža,1995,2.005481004714966,0.37326880199564727,0.0014499574899673462,0.3565590927246797,152.79429054866526
Ilijaš,1995,4.21672248840332,0.7530797919380484,0.007228568196296692,0.9527577658666216,68.66611075431987
Istočna Ilidža,1995,0.5208315253257751,0.18432997611916294,0.0031073540449142456,0.13284452370145913,22.011890599233844
Istočni Drvar,1995,,,,,0.0
Istočni Mostar,1995,,,,,0.0
Istočni Stari Grad,1995,1.0035709142684937,0.23707397048176487,0.017197385430336,0.2436076508215623,3.6063134568579054
Istočno Novo Sarajevo,1995,1.545735239982605,0.20195628567124074,0.002944670617580414,0.30321243008403914,22.981833323953193
Jablanica,1995,2.6219985485076904,0.8353472589204709,0.04584117606282234,0.7466668540960355,25.060417767614126
Jajce,1995,12.265231132507324,2.5658644245730504,0.002677641808986664,3.26472717507529,115.46389910578728
Jezero,1995,,,,,0.0
